country,year,iso_code,population,renewables_share_energy,fossil_share_energy,clean_share_elec,fossil_share_elec,transition_gap,carbon_intensity_elec,is_focus_country
New Zealand,2014,NZL,4522976.0,37.452274322509766,62.54772567749024,79.10065460205078,20.899349212646484,58.2013053894043,148.4199981689453,False
Austria,2014,AUT,8547812.0,35.01669692993164,64.98330688476562,81.55970764160156,18.44029235839844,63.119415283203125,150.4499969482422,False
Switzerland,2014,CHE,8190238.0,31.115068435668945,47.88774490356445,97.36015319824219,2.6398401260375977,94.72031307220459,34.38999938964844,False
Portugal,2014,PRT,10406203.0,29.760852813720703,70.23914337158203,60.945945739746094,39.05405426025391,21.89189147949218,325.67999267578125,False
Croatia,2014,HRV,4219485.0,27.24905204772949,72.75094604492188,74.01339721679688,25.986597061157227,48.02680015563965,226.3600006103516,False
Canada,2014,CAN,35634265.0,27.025665283203125,66.08927154541016,78.68355751037598,21.31644821166992,57.367109298706055,188.8600006103516,False
Colombia,2014,COL,46565426.0,25.307676315307617,74.69232177734375,69.0888442993164,30.911155700683597,38.17768859863281,236.72999572753903,False
Denmark,2014,DNK,5643795.0,25.30527114868164,74.6947250366211,56.148563385009766,43.85143661499024,12.297126770019524,400.75,True
Peru,2014,PER,30115825.0,24.77171516418457,75.22828674316406,52.37262344360352,47.62738037109375,4.745243072509773,309.6400146484375,False
Finland,2014,FIN,5461686.0,24.194854736328125,57.36318206787109,73.21586227416992,26.784141540527344,46.43172073364258,226.42999267578125,False
Vietnam,2014,VNM,91679582.0,22.221385955810547,77.77861785888672,44.10619354248047,55.893802642822266,-11.787609100341797,401.1300048828125,False
Slovenia,2014,SVN,2058395.0,21.441112518310547,58.65804672241211,75.62682342529297,24.37317657470703,51.25364685058594,244.32000732421875,False
Venezuela,2014,VEN,30254080.0,20.501317977905277,79.4986801147461,55.8708610534668,44.12913131713867,11.741729736328125,341.489990234375,False
Chile,2014,CHL,17864192.0,19.51933860778809,80.48065948486328,42.83882141113281,57.16118240356445,-14.32236099243164,493.6600036621094,False
Spain,2014,ESP,46720187.0,19.44547271728516,71.04557037353516,61.05888557434082,38.94111633300781,22.117769241333008,288.989990234375,False
Latvia,2014,LVA,1994153.0,18.95825958251953,81.04174041748047,54.474708557128906,45.52529144287109,8.94941711425782,202.33999633789065,False
Italy,2014,ITA,60664169.0,18.516735076904297,81.48326110839844,43.64083480834961,56.359169006347656,-12.718334197998047,379.30999755859375,False
Romania,2014,ROU,19968179.0,17.51321029663086,74.55171966552734,59.765869140625,40.23413848876953,19.53173065185547,357.0599975585937,False
Ecuador,2014,ECU,16035127.0,16.450544357299805,83.54945373535156,47.540306091308594,52.45969009399414,-4.919384002685547,369.1600036621094,False
Philippines,2014,PHL,103767127.0,14.803544044494627,85.19645690917969,25.61180877685547,74.38819122314453,-48.77638244628906,536.8400268554688,False
Sri Lanka,2014,LKA,21547454.0,14.695231437683104,85.30477142333984,39.30868148803711,60.69132232666016,-21.382640838623054,461.4200134277344,False
Germany,2014,DEU,81376078.0,12.839898109436035,80.45003509521484,41.86828136444092,58.131717681884766,-16.263436317443848,521.6799926757812,True
North Macedonia,2014,MKD,1997842.0,11.856857299804688,88.14314270019531,23.977693557739254,76.02230834960938,-52.04461479187012,749.0700073242188,False
